date,area_type,area_code,area_name,metric,metric_name,value
2020-03-17,nhsRegion,E40000007,East of England,newAdmissions,New admissions,20.0
2020-03-17,nhsRegion,E40000003,London,newAdmissions,New admissions,176.0
2020-03-17,nhsRegion,E40000010,North West,newAdmissions,New admissions,36.0
2020-03-17,nhsRegion,E40000006,South West,newAdmissions,New admissions,12.0
2020-03-17,nhsRegion,E40000005,South East,newAdmissions,New admissions,66.0
2020-03-17,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,16.0
2020-03-17,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,65.0
2020-03-18,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,48.0
2020-03-18,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,96.0
2020-03-18,nhsRegion,E40000003,London,newAdmissions,New admissions,240.0
2020-03-18,nhsRegion,E40000007,East of England,newAdmissions,New admissions,23.0
2020-03-18,nhsRegion,E40000010,North West,newAdmissions,New admissions,47.0
2020-03-18,nhsRegion,E40000006,South West,newAdmissions,New admissions,29.0
2020-03-18,nhsRegion,E40000005,South East,newAdmissions,New admissions,103.0
2020-03-19,nhsRegion,E40000005,South East,newAdmissions,New admissions,103.0
2020-03-19,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,96.0
2020-03-19,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,48.0
2020-03-19,nhsRegion,E40000007,East of England,newAdmissions,New admissions,23.0
2020-03-19,nhsRegion,E40000010,North West,newAdmissions,New admissions,47.0
2020-03-19,nhsRegion,E40000006,South West,newAdmissions,New admissions,29.0
2020-03-19,nhsRegion,E40000003,London,newAdmissions,New admissions,240.0
2020-03-20,nhsRegion,E40000007,East of England,newAdmissions,New admissions,23.0
2020-03-20,nhsRegion,E40000006,South West,newAdmissions,New admissions,43.0
2020-03-20,nhsRegion,E40000010,North West,newAdmissions,New admissions,56.0
2020-03-20,nhsRegion,E40000003,London,newAdmissions,New admissions,272.0
2020-03-20,nhsRegion,E40000005,South East,newAdmissions,New admissions,90.0
2020-03-20,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,164.0
2020-03-20,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,43.0
2020-03-21,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,151.0
2020-03-21,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,73.0
2020-03-21,nhsRegion,E40000006,South West,newAdmissions,New admissions,43.0
2020-03-21,nhsRegion,E40000007,East of England,newAdmissions,New admissions,37.0
2020-03-21,nhsRegion,E40000010,North West,newAdmissions,New admissions,71.0
2020-03-21,nhsRegion,E40000003,London,newAdmissions,New admissions,311.0
2020-03-21,nhsRegion,E40000005,South East,newAdmissions,New admissions,91.0
2020-03-22,nhsRegion,E40000005,South East,newAdmissions,New admissions,94.0
2020-03-22,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,192.0
2020-03-22,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,69.0
2020-03-22,nhsRegion,E40000006,South West,newAdmissions,New admissions,37.0
2020-03-22,nhsRegion,E40000003,London,newAdmissions,New admissions,335.0
2020-03-22,nhsRegion,E40000007,East of England,newAdmissions,New admissions,49.0
2020-03-22,nhsRegion,E40000010,North West,newAdmissions,New admissions,83.0
2020-03-23,nhsRegion,E40000003,London,newAdmissions,New admissions,505.0
2020-03-23,nhsRegion,E40000010,North West,newAdmissions,New admissions,86.0
2020-03-23,nhsRegion,E40000006,South West,newAdmissions,New admissions,62.0
2020-03-23,nhsRegion,E40000007,East of England,newAdmissions,New admissions,46.0
2020-03-23,nhsRegion,E40000005,South East,newAdmissions,New admissions,114.0
2020-03-23,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,107.0
2020-03-23,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,208.0
2020-03-24,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,329.0
2020-03-24,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,167.0
2020-03-24,nhsRegion,E40000003,London,newAdmissions,New admissions,637.0
2020-03-24,nhsRegion,E40000006,South West,newAdmissions,New admissions,60.0
2020-03-24,nhsRegion,E40000010,North West,newAdmissions,New admissions,122.0
2020-03-24,nhsRegion,E40000007,East of England,newAdmissions,New admissions,106.0
2020-03-24,nhsRegion,E40000005,South East,newAdmissions,New admissions,123.0
2020-03-25,nhsRegion,E40000005,South East,newAdmissions,New admissions,141.0
2020-03-25,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,160.0
2020-03-25,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,422.0
2020-03-25,nhsRegion,E40000003,London,newAdmissions,New admissions,675.0
2020-03-25,nhsRegion,E40000006,South West,newAdmissions,New admissions,94.0
2020-03-25,nhsRegion,E40000010,North West,newAdmissions,New admissions,187.0
2020-03-25,nhsRegion,E40000007,East of England,newAdmissions,New admissions,76.0
2020-03-26,nhsRegion,E40000003,London,newAdmissions,New admissions,519.0
2020-03-26,nhsRegion,E40000006,South West,newAdmissions,New admissions,86.0
2020-03-26,nhsRegion,E40000007,East of England,newAdmissions,New admissions,160.0
2020-03-26,nhsRegion,E40000010,North West,newAdmissions,New admissions,184.0
2020-03-26,nhsRegion,E40000005,South East,newAdmissions,New admissions,138.0
2020-03-26,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,356.0
2020-03-26,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,196.0
2020-03-27,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,404.0
2020-03-27,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,240.0
2020-03-27,nhsRegion,E40000006,South West,newAdmissions,New admissions,105.0
2020-03-27,nhsRegion,E40000007,East of England,newAdmissions,New admissions,94.0
2020-03-27,nhsRegion,E40000010,North West,newAdmissions,New admissions,219.0
2020-03-27,nhsRegion,E40000003,London,newAdmissions,New admissions,639.0
2020-03-27,nhsRegion,E40000005,South East,newAdmissions,New admissions,230.0
2020-03-28,nhsRegion,E40000005,South East,newAdmissions,New admissions,250.0
2020-03-28,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,350.0
2020-03-28,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,258.0
2020-03-28,nhsRegion,E40000003,London,newAdmissions,New admissions,551.0
2020-03-28,nhsRegion,E40000010,North West,newAdmissions,New admissions,210.0
2020-03-28,nhsRegion,E40000007,East of England,newAdmissions,New admissions,124.0
2020-03-28,nhsRegion,E40000006,South West,newAdmissions,New admissions,130.0
2020-03-29,nhsRegion,E40000007,East of England,newAdmissions,New admissions,201.0
2020-03-29,nhsRegion,E40000003,London,newAdmissions,New admissions,672.0
2020-03-29,nhsRegion,E40000006,South West,newAdmissions,New admissions,107.0
2020-03-29,nhsRegion,E40000010,North West,newAdmissions,New admissions,198.0
2020-03-29,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,481.0
2020-03-29,nhsRegion,E40000005,South East,newAdmissions,New admissions,273.0
2020-03-29,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,254.0
2020-03-30,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,340.0
2020-03-30,nhsRegion,E40000007,East of England,newAdmissions,New admissions,148.0
2020-03-30,nhsRegion,E40000003,London,newAdmissions,New admissions,883.0
2020-03-30,nhsRegion,E40000006,South West,newAdmissions,New admissions,128.0
2020-03-30,nhsRegion,E40000010,North West,newAdmissions,New admissions,420.0
2020-03-30,nhsRegion,E40000005,South East,newAdmissions,New admissions,317.0
2020-03-30,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,581.0
2020-03-31,nhsRegion,E40000005,South East,newAdmissions,New admissions,295.0
2020-03-31,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,594.0
2020-03-31,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,303.0
2020-03-31,nhsRegion,E40000003,London,newAdmissions,New admissions,645.0
2020-03-31,nhsRegion,E40000006,South West,newAdmissions,New admissions,122.0
2020-03-31,nhsRegion,E40000010,North West,newAdmissions,New admissions,342.0
2020-03-31,nhsRegion,E40000007,East of England,newAdmissions,New admissions,146.0
2020-04-01,nhsRegion,E40000006,South West,newAdmissions,New admissions,112.0
2020-04-01,nhsRegion,E40000007,East of England,newAdmissions,New admissions,167.0
2020-04-01,nhsRegion,E40000010,North West,newAdmissions,New admissions,466.0
2020-04-01,nhsRegion,E40000003,London,newAdmissions,New admissions,767.0
2020-04-01,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,776.0
2020-04-01,nhsRegion,E40000005,South East,newAdmissions,New admissions,304.0
2020-04-01,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,507.0
2020-04-02,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,423.0
2020-04-02,nhsRegion,E40000007,East of England,newAdmissions,New admissions,184.0
2020-04-02,nhsRegion,E40000006,South West,newAdmissions,New admissions,152.0
2020-04-02,nhsRegion,E40000003,London,newAdmissions,New admissions,835.0
2020-04-02,nhsRegion,E40000010,North West,newAdmissions,New admissions,434.0
2020-04-02,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,582.0
2020-04-02,nhsRegion,E40000005,South East,newAdmissions,New admissions,322.0
2020-04-03,nhsRegion,E40000008,Midlands,newAdmissions,New admissions,451.0
2020-04-03,nhsRegion,E40000005,South East,newAdmissions,New admissions,332.0
2020-04-03,nhsRegion,E40000009,North East and Yorkshire,newAdmissions,New admissions,373.0
2020-04-03,nhsRegion,E40000007,East of England,newAdmissions,New admissions,192.0
2020-04-03,nhsRegion,E40000006,South West,newAdmissions,New admissions,123.0
2020-04-03,nhsRegion,E40000003,London,newAdmissions,New admissions,647.0
